episode;steps;reward;average
199;1000;-154.21183633532112;-259.86653744668416
200;1000;-522.1067334270017;-262.8386296191733
201;1000;-230.5360446945113;-265.5454975296793
202;1000;-477.78017384347436;-268.44093433189425
203;849;126.93516207724272;-264.7275961737074
204;602;197.48409580232402;-257.7954992974318
205;1000;-195.31612192107565;-257.6191884776123
206;1000;-224.31413115331765;-256.6769297146992
207;588;219.25340082985622;-250.10956397295823
208;1000;-200.51966524236192;-247.68307639677693
209;852;108.24895324950806;-240.86837197172812
210;858;165.74817685293715;-233.38552800488924
211;1000;-78.04778196042307;-229.45834921864088
212;594;-246.34982707838012;-230.53945733853325
213;207;319.2695836127754;-225.13938458739452
214;226;336.62796176907216;-223.98952805379471
215;249;293.3954420187056;-218.2571254177359
216;490;294.189730563928;-210.9725778892802
217;190;-120.22067150736149;-206.75055074752038
218;175;-152.1007476366761;-202.74775369520242
219;55;-501.48267373300723;-205.93067759821824
220;69;-191.22810787711168;-206.20554397833442
221;83;-402.69523136194675;-212.7005968499279
222;87;-181.47894187560848;-209.61261495450046
223;51;-495.89655098109654;-210.01074798140596
224;81;-509.77387751001703;-210.3535417299185
225;88;-575.198184651356;-212.27846667398552
226;93;-352.89553294404357;-213.04298809567135
227;67;-562.679332768289;-216.30808639616654
228;74;-550.2829907352482;-216.16195095953174
229;81;-382.9818659237317;-214.31511626603051
230;57;-514.5527020184763;-222.13156806150502
231;65;-512.5640378296521;-230.26379114647477
232;83;-142.40732567405198;-234.51070825931484
233;92;-170.3839491748725;-238.98228788278647
234;65;-156.01113512440506;-243.4402725986515
235;84;-169.87279009117762;-247.29170857491897
236;72;-510.72195815670926;-253.63254066781997
237;52;-458.8717206004329;-261.185369157585
238;80;-459.7245426153676;-262.39441999629724
239;74;-410.5599393320764;-261.9064495465702
240;52;-486.3769199510169;-267.1980956170112
241;95;-190.5193714546242;-265.77652521629693
242;75;-520.6580025005765;-268.7105116132755
243;67;-525.7285120478723;-268.7016815966162
244;68;-528.6666326793948;-270.2604931601393
245;50;-248.58329299646044;-268.9761190586942
246;83;-332.66767513265944;-268.58191382458614
247;59;-555.7632281725527;-268.8651922220755
248;73;-244.05367933808486;-273.8072652277854
249;63;-172.99299794389043;-273.32615412716376
250;89;-513.3579165054903;-274.3566033527045
251;57;-477.0536111810116;-274.33690280997246
252;75;-183.7115300699519;-271.0308130137513
253;58;-571.7799887585238;-271.64004035627806
254;51;-488.56758681177973;-271.5514233198221
255;80;-162.44243958713554;-267.88776177938496
256;61;-369.0593887424059;-269.7940453661644
257;88;-278.4480469307854;-266.7982612391155
258;64;-161.58620893637422;-265.4414799630552
259;79;-169.04437448861026;-264.4700663327515
260;68;-528.4321691927196;-265.21170369470326
261;58;-561.7384369862189;-269.3341048121961
262;53;-446.5182529788083;-269.551024288436
263;71;-438.94215173469627;-269.4517441460058
264;83;-523.4796586542141;-275.44320039961997
265;61;-445.9500892807032;-282.52730495208385
266;67;-521.5761173026501;-288.6592565806912
267;74;-527.6313053162761;-295.50067803593805
268;55;-538.6406712127756;-301.9339472647025
269;77;-261.26890171626474;-302.3852365495492
270;60;-565.0229286519259;-302.7094497791248
271;66;-367.57659493122515;-300.6871564729745
272;70;-475.2942759092143;-299.8722568948831
273;68;-534.8953406642747;-299.7056599611634
274;83;-194.32404531341535;-295.78248165016646
275;69;-528.1611428333617;-299.12215182771274
276;57;-524.0783779598149;-302.7317742286028
277;79;-509.984201925428;-305.76592183118146
278;76;-525.8050637572514;-308.27121692271874
279;90;-521.485469955036;-309.7976685980189
280;86;-505.83003526154175;-309.22679131860474
281;83;-541.9755287669129;-310.87626800967683
282;69;-177.7974766563638;-308.42492896744756
283;57;-539.5743725280159;-316.05288247319515
284;52;-459.74805307139167;-322.0314827541904
285;63;-502.595143996334;-325.262770691248
286;84;-540.9946405427495;-328.48285028662775
287;63;-243.2648219034618;-327.6998066031397
288;85;-117.67227966431162;-325.11172940099846
289;73;-125.15848747351987;-321.05319231928513
